epoch,accuracy,loss,val_accuracy,val_loss
0,0.5866278409957886,1.6492220163345337,0.9544728398323059,0.12627124786376953
1,0.8703168034553528,0.4082343876361847,0.9859449863433838,0.03477530553936958
2,0.9350437521934509,0.20060929656028748,0.9918287992477417,0.018278945237398148
3,0.9500831961631775,0.15707364678382874,0.9941162467002869,0.013691139407455921
4,0.9541142582893372,0.1468697041273117,0.993683934211731,0.013174731284379959
5,0.9561127424240112,0.142228901386261,0.9939031004905701,0.012875540181994438
6,0.9228916764259338,0.37383130192756653,0.0867675319314003,5.923402309417725
7,0.051062341779470444,5.764068603515625,0.10326609015464783,4.766740798950195
8,0.24356336891651154,3.5286571979522705,0.6223493218421936,1.5446364879608154
9,0.5183740854263306,1.8730767965316772,0.719950795173645,1.015533685684204
10,0.6058961153030396,1.4745886325836182,0.7784191966056824,0.8025218844413757
11,0.6682752370834351,1.2184206247329712,0.8350804448127747,0.6004438400268555
12,0.7110304832458496,1.0408111810684204,0.8601765036582947,0.48934078216552734
13,0.7410613298416138,0.9160441756248474,0.882384717464447,0.4063481390476227
14,0.7643588185310364,0.825684130191803,0.9032570719718933,0.3299098312854767
15,0.7866127490997314,0.7322216033935547,0.9240244030952454,0.26027706265449524
